,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
1705,Industrial,42278,69053510,17,3,37,94,1,Adverse,No,4,2,Delhi,10,17,Fixed price,Medium,498
1706,Infrastructure,42713,50020780,9,5,20,100,0,Favorable,Yes,1,7,Mumbai,7,18,Fixed price,Medium,765
1707,Residential,7786,51584583,27,5,34,34,4,Favorable,No,3,2,Banglore,9,17,Time and materials,High,649
1708,Commercial,8703,63210227,73,3,27,15,2,Moderate,No,1,10,Kolkata,7,15,Fixed price,Medium,778
1709,Educational,1233,80294864,34,4,43,90,2,Favorable,Yes,1,5,Pune,3,17,Time and materials,Medium,235
1710,Industrial,33699,47216542,48,9,41,74,3,Favorable,Yes,4,7,Chennai,10,19,Fixed price,Low,795
1711,Commercial,29834,31357566,60,6,47,42,2,Favorable,No,1,8,Delhi,5,5,Time and materials,Low,536
1712,Infrastructure,41563,61987305,60,8,8,92,5,Moderate,Yes,5,6,Kolkata,6,8,Fixed price,High,479
1713,Infrastructure,21089,19236910,94,5,18,64,5,Favorable,No,3,0,Banglore,4,4,Fixed price,High,741
1714,Educational,3463,27591026,17,8,48,1,1,Moderate,Yes,2,1,Pune,9,5,Fixed price,Medium,671
1715,Educational,42370,13021953,54,8,38,45,0,Adverse,No,5,8,Delhi,2,20,Time and materials,Medium,634
1716,Residential,14788,48761255,91,3,22,9,0,Adverse,No,3,3,Banglore,6,18,Time and materials,High,310
1717,Commercial,11818,28425923,41,1,29,77,0,Favorable,Yes,4,1,Kolkata,4,4,Time and materials,Medium,966
1718,Industrial,6557,56051643,73,1,33,65,5,Favorable,Yes,5,10,Chennai,4,15,Time and materials,Low,510
1719,Commercial,13736,49350472,59,5,46,93,2,Favorable,No,4,4,Delhi,4,6,Time and materials,Low,930
1720,Industrial,4855,15099028,7,7,36,34,3,Adverse,No,5,8,Hyderabad,7,14,Time and materials,Low,414
1721,Industrial,36008,62797302,51,8,37,23,4,Moderate,No,3,1,Banglore,8,5,Fixed price,Medium,641
1722,Commercial,49205,80752111,80,4,50,35,5,Moderate,Yes,3,5,Banglore,8,2,Time and materials,Low,407
1723,Residential,11425,59088281,76,5,38,24,0,Moderate,No,3,9,Chennai,8,3,Time and materials,Low,812
1724,Residential,28354,35379829,70,3,21,66,0,Favorable,Yes,4,10,Hyderabad,5,13,Time and materials,High,240
1725,Infrastructure,26142,19663115,71,5,47,47,3,Adverse,No,3,9,Pune,2,5,Fixed price,Medium,688
1726,Infrastructure,39413,23195263,25,8,41,79,4,Moderate,Yes,5,10,Delhi,5,13,Time and materials,Low,889
1727,Infrastructure,19897,31640928,51,4,18,13,5,Moderate,No,2,8,Pune,8,1,Time and materials,High,869
1728,Residential,36561,42852153,34,8,44,4,1,Moderate,Yes,2,2,Pune,7,1,Fixed price,Low,542
1729,Residential,46534,31140936,89,8,25,25,4,Favorable,No,4,4,Mumbai,10,20,Time and materials,Medium,425
1730,Residential,12926,65400431,12,10,20,73,1,Favorable,Yes,5,5,Chennai,8,19,Fixed price,High,282
1731,Residential,40651,55561777,42,9,37,42,4,Moderate,Yes,2,2,Hyderabad,5,13,Fixed price,High,604
1732,Commercial,36767,27022891,53,7,9,39,0,Moderate,Yes,1,0,Banglore,10,10,Time and materials,High,341
1733,Educational,24783,52518748,88,2,8,91,4,Favorable,Yes,2,9,Delhi,1,17,Time and materials,Low,377
1734,Infrastructure,10988,44855275,98,3,33,34,5,Moderate,Yes,2,8,Kolkata,7,9,Time and materials,Medium,738
1735,Infrastructure,8415,46985138,12,5,25,40,4,Moderate,No,3,9,Kolkata,2,17,Time and materials,Medium,259
1736,Educational,23206,73437404,42,7,12,89,2,Favorable,No,4,1,Delhi,7,12,Fixed price,Low,1000
1737,Residential,27172,67405047,67,8,27,34,2,Adverse,No,3,5,Hyderabad,8,13,Fixed price,Medium,945
1738,Industrial,11191,12389078,45,6,32,52,5,Moderate,Yes,2,1,Kolkata,6,6,Fixed price,Low,491
1739,Industrial,49838,65037140,90,9,43,49,5,Favorable,No,1,2,Chennai,2,6,Time and materials,High,282
1740,Infrastructure,2779,51037115,17,9,19,26,4,Favorable,No,2,1,Mumbai,5,4,Fixed price,High,464
1741,Residential,31916,15276233,86,1,16,80,3,Adverse,Yes,4,3,Chennai,7,13,Time and materials,Medium,109
1742,Infrastructure,47128,15844451,14,1,38,75,4,Adverse,Yes,3,7,Banglore,7,10,Time and materials,Low,757
1743,Educational,6239,28764812,36,6,11,49,3,Favorable,No,3,5,Hyderabad,1,1,Time and materials,High,714
1744,Educational,29890,39587182,42,10,32,35,1,Favorable,Yes,3,0,Hyderabad,8,2,Fixed price,Medium,923
1745,Industrial,2564,48809810,19,8,36,21,2,Favorable,No,4,2,Delhi,6,7,Time and materials,High,664
1746,Commercial,14589,73644240,27,8,18,69,5,Moderate,Yes,5,3,Chennai,5,8,Fixed price,Low,686
1747,Educational,12829,52188159,44,2,8,89,2,Favorable,No,2,3,Chennai,1,1,Time and materials,Low,586
1748,Educational,681,31616858,31,8,46,65,5,Favorable,No,1,6,Mumbai,6,16,Time and materials,Medium,379
1749,Commercial,15005,67709491,83,8,12,2,4,Favorable,Yes,1,6,Mumbai,3,7,Fixed price,High,319
1750,Industrial,8705,75294778,98,7,9,34,4,Moderate,Yes,3,8,Hyderabad,2,19,Time and materials,Low,687
1751,Industrial,7376,5255228,76,5,40,44,1,Adverse,No,1,9,Banglore,9,2,Time and materials,High,778
1752,Educational,20089,21272734,42,9,38,13,5,Adverse,No,3,8,Hyderabad,4,3,Time and materials,Low,819
1753,Industrial,4401,38971737,60,7,37,100,2,Adverse,Yes,4,6,Banglore,4,12,Fixed price,High,781
1754,Infrastructure,36614,64050768,93,4,5,54,2,Adverse,No,3,9,Kolkata,4,9,Time and materials,Low,579
1755,Educational,40962,43601477,42,8,22,22,5,Moderate,Yes,1,9,Mumbai,6,20,Time and materials,High,731
1756,Commercial,4633,36194557,56,2,37,66,2,Adverse,No,2,9,Pune,9,3,Time and materials,High,524
1757,Residential,3187,53178598,22,8,9,36,4,Adverse,Yes,3,10,Banglore,10,20,Time and materials,High,827
1758,Educational,37955,48680247,20,6,31,10,5,Adverse,No,4,2,Banglore,10,11,Fixed price,Low,397
1759,Educational,9926,81662455,71,3,10,52,4,Favorable,Yes,1,5,Mumbai,2,20,Time and materials,Low,432
1760,Infrastructure,45614,50790190,97,9,16,98,4,Moderate,No,5,1,Chennai,6,11,Time and materials,Medium,431
1761,Infrastructure,4674,51853918,30,7,6,68,0,Favorable,Yes,4,3,Chennai,2,12,Fixed price,Low,953
1762,Residential,1288,13738990,62,5,46,44,2,Favorable,Yes,3,0,Hyderabad,3,16,Fixed price,Medium,722
1763,Infrastructure,42174,40945145,10,2,38,5,5,Adverse,Yes,3,5,Pune,8,4,Fixed price,High,452
1764,Infrastructure,29147,51382644,40,2,16,21,3,Favorable,No,1,8,Pune,4,2,Time and materials,High,500
1765,Commercial,33251,61711413,13,5,25,17,5,Moderate,No,1,1,Banglore,5,11,Fixed price,High,222
1766,Industrial,45622,39445418,56,5,31,88,2,Moderate,Yes,1,6,Mumbai,2,18,Fixed price,Medium,527
1767,Industrial,49132,13909555,20,5,24,10,4,Moderate,No,3,1,Mumbai,10,3,Fixed price,High,483
1768,Industrial,21307,10238714,53,3,27,99,3,Adverse,Yes,3,0,Pune,4,9,Fixed price,High,699
1769,Educational,28804,36852498,31,6,40,98,3,Adverse,No,5,10,Kolkata,9,18,Time and materials,Low,937
1770,Commercial,39686,51548893,94,5,35,11,3,Favorable,Yes,5,6,Banglore,9,19,Fixed price,Medium,123
1771,Industrial,27234,62754557,90,1,8,30,0,Favorable,No,4,3,Delhi,9,5,Fixed price,Low,602
1772,Industrial,1002,9951949,41,2,9,48,3,Favorable,Yes,1,5,Mumbai,10,13,Fixed price,Medium,536
1773,Infrastructure,36451,63331739,80,5,23,16,2,Moderate,Yes,2,6,Hyderabad,8,1,Time and materials,Low,694
1774,Residential,29958,12089780,58,4,49,72,4,Adverse,No,3,4,Delhi,4,17,Time and materials,High,694
1775,Educational,42055,78899966,50,8,35,42,2,Favorable,Yes,5,10,Chennai,6,15,Time and materials,Medium,750
1776,Industrial,12997,22942860,27,9,37,19,0,Adverse,No,4,2,Pune,2,7,Time and materials,High,469
1777,Educational,19090,13524518,43,6,22,52,3,Favorable,No,4,3,Delhi,2,6,Time and materials,Medium,171
1778,Commercial,39140,21007383,87,4,22,98,3,Favorable,No,5,8,Mumbai,7,3,Time and materials,High,463
1779,Infrastructure,15272,34771522,76,4,9,0,2,Moderate,Yes,2,4,Pune,6,17,Time and materials,High,532
1780,Commercial,42474,62189161,43,5,8,55,4,Adverse,No,5,10,Banglore,10,6,Time and materials,High,406
1781,Industrial,27361,76158559,40,4,43,89,5,Favorable,No,2,0,Pune,6,8,Time and materials,Low,853
1782,Commercial,10526,66054139,56,9,26,5,3,Favorable,Yes,3,1,Kolkata,10,2,Fixed price,High,883
1783,Residential,43411,9892355,46,10,24,73,0,Favorable,Yes,4,10,Hyderabad,10,11,Time and materials,Low,288
1784,Industrial,28654,11201846,75,5,33,93,0,Adverse,Yes,4,1,Delhi,7,15,Time and materials,Low,171
1785,Commercial,17130,62686414,50,2,23,91,2,Moderate,Yes,2,9,Chennai,4,18,Fixed price,Low,677
1786,Educational,1756,28414967,33,4,24,25,4,Favorable,Yes,3,0,Mumbai,4,2,Time and materials,Low,199
1787,Commercial,1596,7711032,91,7,7,93,5,Moderate,Yes,4,10,Hyderabad,2,4,Time and materials,High,634
1788,Residential,22105,56127007,100,9,46,64,4,Moderate,No,1,6,Banglore,5,4,Time and materials,Medium,265
1789,Commercial,2040,75989903,94,4,7,42,0,Adverse,No,1,10,Mumbai,5,10,Fixed price,High,781
1790,Residential,28911,21899633,85,7,19,19,5,Favorable,Yes,1,6,Hyderabad,1,3,Fixed price,Low,415
1791,Residential,13345,10604080,52,10,38,44,3,Moderate,Yes,4,3,Delhi,2,17,Fixed price,Low,271
1792,Industrial,29310,36204268,18,1,48,29,3,Adverse,Yes,5,2,Pune,6,13,Fixed price,High,143
1793,Commercial,13956,48534582,91,5,9,96,3,Moderate,Yes,1,1,Chennai,6,8,Fixed price,Medium,720
1794,Industrial,21302,32338626,50,6,20,64,4,Moderate,No,1,7,Mumbai,8,15,Time and materials,Low,580
1795,Infrastructure,13337,72384051,95,1,23,27,1,Moderate,Yes,1,7,Pune,8,8,Time and materials,Low,377
1796,Commercial,38818,16207161,73,9,23,59,1,Moderate,Yes,3,1,Chennai,10,10,Fixed price,High,525
1797,Educational,34498,79542220,68,9,46,73,5,Favorable,No,4,9,Hyderabad,8,2,Time and materials,Medium,1000
1798,Infrastructure,27118,10457502,38,4,32,39,1,Favorable,No,2,2,Chennai,1,19,Fixed price,High,973
1799,Educational,1520,36140939,5,3,21,2,0,Adverse,No,3,5,Hyderabad,8,19,Time and materials,Medium,362
1800,Industrial,38789,48285831,9,4,16,21,5,Moderate,Yes,1,9,Delhi,7,18,Fixed price,Medium,184
1801,Infrastructure,23412,5656201,74,4,19,51,4,Moderate,Yes,1,8,Chennai,8,9,Time and materials,High,188
1802,Infrastructure,6932,61785283,22,7,16,70,2,Adverse,No,5,3,Pune,7,4,Time and materials,Medium,899
1803,Industrial,4339,71592065,51,5,6,45,4,Favorable,Yes,2,7,Banglore,10,2,Fixed price,Medium,863
1804,Commercial,47067,42124658,88,1,36,26,5,Adverse,No,2,8,Pune,2,16,Fixed price,Low,693
1805,Industrial,29229,17811966,86,4,38,23,5,Moderate,Yes,2,6,Kolkata,10,6,Time and materials,High,234
1806,Commercial,23074,54951644,72,9,47,49,2,Favorable,No,4,6,Banglore,9,6,Fixed price,Low,806
1807,Industrial,4252,50302897,54,5,21,81,0,Moderate,Yes,1,2,Mumbai,9,15,Time and materials,High,338
1808,Commercial,25926,24038626,82,7,17,56,0,Adverse,No,1,6,Kolkata,5,15,Time and materials,Low,911
1809,Educational,26294,33671606,28,1,19,61,3,Favorable,Yes,5,2,Banglore,7,8,Time and materials,Medium,900
1810,Infrastructure,34776,51082018,41,7,18,85,0,Favorable,Yes,4,2,Banglore,1,20,Time and materials,Medium,250
1811,Commercial,49765,46044582,38,9,37,73,4,Favorable,No,1,10,Hyderabad,9,4,Fixed price,High,846
1812,Educational,34641,45082363,50,1,39,68,0,Favorable,Yes,3,1,Mumbai,1,6,Time and materials,Medium,301
1813,Infrastructure,9867,82874172,28,7,9,59,1,Moderate,Yes,1,10,Delhi,5,17,Fixed price,Medium,871
1814,Industrial,28598,49008595,97,2,29,11,5,Adverse,No,4,6,Delhi,4,4,Fixed price,Medium,991
1815,Infrastructure,11728,7790463,53,6,12,63,1,Adverse,No,5,9,Mumbai,3,10,Time and materials,Medium,339
1816,Commercial,4047,23980775,71,9,18,15,0,Favorable,Yes,2,9,Mumbai,9,1,Fixed price,Low,368
1817,Commercial,22386,68171469,58,4,44,2,5,Adverse,Yes,5,10,Chennai,3,18,Fixed price,Low,401
1818,Industrial,27015,52714545,6,10,13,100,4,Moderate,Yes,2,6,Chennai,5,6,Fixed price,Medium,133
1819,Industrial,2001,80757174,8,1,14,15,0,Favorable,Yes,4,8,Chennai,2,5,Time and materials,High,412
1820,Industrial,28581,60339008,24,7,46,28,5,Moderate,Yes,3,7,Chennai,8,6,Time and materials,Medium,535
1821,Infrastructure,29659,47296720,78,10,42,92,5,Adverse,No,5,4,Delhi,2,5,Fixed price,High,925
1822,Infrastructure,25169,59081143,62,10,14,68,3,Favorable,Yes,1,3,Delhi,8,8,Fixed price,High,199
1823,Industrial,20137,18846063,73,9,38,28,5,Favorable,No,5,3,Banglore,7,19,Fixed price,High,461
1824,Infrastructure,8470,25612057,60,3,10,79,2,Moderate,No,4,5,Delhi,2,3,Time and materials,High,378
1825,Infrastructure,29356,77601680,45,4,9,19,4,Favorable,No,3,3,Delhi,6,9,Fixed price,High,165
1826,Educational,1772,8370716,29,3,38,16,4,Favorable,Yes,1,4,Chennai,2,9,Fixed price,Medium,612
1827,Residential,25209,17346004,50,9,11,25,2,Moderate,No,5,3,Delhi,8,3,Time and materials,Low,332
1828,Infrastructure,42212,47446452,28,7,12,90,2,Adverse,No,5,0,Mumbai,6,12,Time and materials,High,874
1829,Residential,36691,23792697,66,1,26,19,3,Favorable,Yes,4,4,Chennai,8,7,Fixed price,Low,688
1830,Residential,28987,26727079,5,8,7,4,1,Adverse,Yes,4,4,Delhi,5,1,Fixed price,Low,698
1831,Infrastructure,49649,6997481,24,7,49,91,4,Favorable,No,2,9,Kolkata,8,7,Fixed price,Low,157
1832,Educational,13485,33437463,59,2,38,37,1,Moderate,No,2,3,Delhi,1,14,Time and materials,Low,762
1833,Educational,39584,56778640,59,2,6,43,0,Favorable,Yes,5,7,Mumbai,9,9,Fixed price,Low,715
1834,Educational,8461,68190144,50,6,49,30,5,Moderate,Yes,2,7,Kolkata,1,16,Fixed price,High,812
1835,Educational,45146,20434766,75,2,12,93,3,Adverse,Yes,4,1,Delhi,6,10,Time and materials,Medium,109
1836,Infrastructure,47100,44694670,11,6,17,8,0,Moderate,Yes,4,2,Pune,5,19,Time and materials,High,836
1837,Infrastructure,10655,29934780,18,7,5,91,4,Favorable,No,2,10,Chennai,1,12,Time and materials,High,707
1838,Commercial,34026,38809721,21,9,50,62,0,Moderate,No,3,0,Delhi,7,5,Fixed price,Medium,159
1839,Infrastructure,20176,7265488,22,6,46,27,3,Moderate,No,2,0,Pune,10,4,Fixed price,Low,708
1840,Infrastructure,17116,74159006,72,7,19,81,1,Adverse,No,1,5,Chennai,8,9,Time and materials,High,939
1841,Residential,20862,48786736,25,8,13,91,5,Moderate,No,4,9,Pune,5,15,Fixed price,High,714
1842,Residential,2538,81020616,49,5,5,64,1,Moderate,No,5,5,Kolkata,5,13,Time and materials,Medium,314
1843,Residential,38037,71767527,21,8,17,56,1,Moderate,Yes,1,2,Pune,1,13,Time and materials,High,430
1844,Infrastructure,31919,45091659,83,9,40,36,3,Moderate,Yes,3,5,Chennai,9,14,Time and materials,Low,501
1845,Residential,20404,15205600,92,3,28,76,4,Moderate,Yes,1,2,Kolkata,10,6,Fixed price,Medium,235
1846,Educational,4332,9306956,76,1,36,87,2,Moderate,No,4,6,Pune,5,14,Time and materials,Medium,814
1847,Educational,38804,70637067,12,10,50,20,2,Adverse,No,1,9,Delhi,7,17,Time and materials,High,358
1848,Commercial,36590,16339629,15,5,5,40,5,Favorable,Yes,4,7,Banglore,5,10,Time and materials,High,332
1849,Educational,34577,11468276,12,3,34,100,4,Favorable,No,3,8,Banglore,10,7,Fixed price,High,881
1850,Industrial,49046,35645014,25,8,18,82,4,Moderate,No,3,6,Mumbai,9,5,Time and materials,High,566
1851,Residential,12648,71906220,88,8,28,7,3,Moderate,Yes,2,0,Banglore,9,2,Time and materials,High,311
1852,Residential,21405,32282933,85,5,9,97,4,Adverse,Yes,1,7,Delhi,4,8,Time and materials,Low,970
1853,Commercial,7509,47439148,86,2,38,27,5,Favorable,Yes,4,1,Kolkata,10,12,Fixed price,Medium,692
1854,Industrial,28730,67025820,53,4,12,2,3,Moderate,No,3,6,Kolkata,6,3,Fixed price,Medium,241
1855,Infrastructure,24671,10423555,88,9,15,19,3,Favorable,Yes,3,4,Pune,5,1,Time and materials,Low,890
1856,Infrastructure,29078,11160429,49,2,36,0,2,Favorable,Yes,5,6,Banglore,9,4,Time and materials,Medium,804
1857,Industrial,25065,20920565,79,6,42,34,0,Moderate,No,3,9,Banglore,4,11,Fixed price,Low,153
1858,Educational,33246,49522946,81,3,18,91,3,Moderate,Yes,5,6,Pune,6,14,Time and materials,High,483
1859,Educational,41945,48174445,11,7,36,83,3,Favorable,Yes,5,2,Mumbai,3,9,Fixed price,Medium,411
1860,Educational,29640,57611047,42,8,42,13,1,Favorable,Yes,3,2,Mumbai,1,14,Fixed price,Low,466
1861,Infrastructure,20355,52632956,22,4,16,89,1,Adverse,Yes,5,7,Chennai,6,4,Time and materials,Medium,782
1862,Commercial,4966,55790774,54,7,46,57,1,Adverse,Yes,4,7,Mumbai,3,3,Time and materials,High,602
1863,Commercial,26402,55063943,87,4,39,60,4,Favorable,No,4,5,Chennai,1,17,Time and materials,Medium,997
1864,Residential,26672,75885738,11,9,10,9,5,Adverse,Yes,1,2,Delhi,7,1,Fixed price,Medium,634
1865,Residential,38174,50492469,46,2,18,79,1,Favorable,Yes,5,6,Hyderabad,5,6,Fixed price,Medium,620
1866,Residential,39924,70737165,67,5,39,47,4,Adverse,No,3,4,Hyderabad,1,11,Fixed price,Low,113
1867,Infrastructure,21160,68098097,53,8,13,66,0,Moderate,Yes,5,1,Mumbai,7,13,Fixed price,Low,527
1868,Educational,31475,27027871,93,5,34,98,2,Favorable,No,5,10,Mumbai,4,8,Time and materials,Low,463
1869,Commercial,6854,36690482,92,8,33,45,3,Adverse,Yes,3,1,Delhi,4,8,Time and materials,Medium,428
1870,Commercial,5564,25018939,82,8,7,81,4,Moderate,Yes,1,8,Pune,8,19,Fixed price,High,168
1871,Infrastructure,42399,20807768,64,3,23,95,0,Favorable,No,1,6,Banglore,9,4,Fixed price,Low,474
1872,Residential,44628,72857898,60,2,17,10,4,Adverse,No,3,7,Chennai,1,16,Fixed price,High,640
1873,Commercial,45864,11971920,44,6,35,78,5,Favorable,Yes,5,8,Pune,10,15,Time and materials,Low,389
1874,Residential,2005,20720867,57,2,5,46,3,Adverse,No,3,6,Banglore,4,1,Fixed price,Medium,129
1875,Industrial,41944,72149410,16,3,29,2,2,Moderate,No,2,0,Kolkata,6,13,Fixed price,High,884
1876,Infrastructure,17923,7830054,19,4,48,29,3,Favorable,Yes,2,1,Hyderabad,8,15,Time and materials,High,959
1877,Commercial,16794,40242135,54,7,39,79,5,Adverse,No,5,10,Hyderabad,6,13,Fixed price,High,709
1878,Industrial,21611,54924005,28,2,19,88,0,Moderate,Yes,1,1,Kolkata,2,9,Time and materials,High,178
1879,Industrial,17782,50806043,46,8,25,61,0,Adverse,No,4,7,Banglore,2,19,Time and materials,Low,602
1880,Industrial,28937,10075204,75,2,22,90,2,Moderate,No,4,8,Mumbai,3,11,Time and materials,Medium,636
1881,Commercial,2505,77686174,81,2,21,31,5,Adverse,Yes,4,3,Hyderabad,5,13,Fixed price,High,581
1882,Residential,48708,59537062,89,9,37,7,3,Favorable,Yes,5,1,Delhi,3,12,Fixed price,Low,145
1883,Residential,33583,75545189,89,6,38,96,2,Moderate,No,5,8,Pune,8,6,Time and materials,Low,334
1884,Educational,21977,80329309,24,7,6,40,1,Moderate,No,2,6,Chennai,9,12,Time and materials,Medium,234
1885,Educational,35269,25827774,72,10,8,59,3,Moderate,Yes,5,1,Delhi,3,12,Fixed price,High,614
1886,Infrastructure,11743,46731905,78,8,25,93,1,Adverse,No,4,8,Pune,6,20,Fixed price,Medium,960
1887,Educational,22924,54788715,68,7,16,60,4,Adverse,No,2,3,Banglore,9,1,Fixed price,Low,690
1888,Residential,16572,52772396,42,9,38,33,3,Adverse,No,5,3,Chennai,10,5,Time and materials,Low,470
1889,Educational,648,68301945,30,5,16,56,0,Favorable,Yes,1,10,Pune,10,9,Fixed price,Low,359
1890,Educational,46049,7670030,97,3,5,99,4,Moderate,Yes,4,7,Mumbai,9,10,Fixed price,Low,555
1891,Residential,32162,59571009,11,3,28,78,1,Moderate,No,3,8,Chennai,4,11,Time and materials,Medium,504
1892,Residential,21013,67840382,34,1,36,67,0,Adverse,No,2,10,Pune,9,6,Time and materials,High,803
1893,Commercial,19855,30901647,75,2,48,72,1,Adverse,Yes,3,4,Pune,1,19,Fixed price,High,124
1894,Commercial,45235,7978209,35,7,41,0,3,Adverse,Yes,3,6,Hyderabad,5,9,Fixed price,Low,917
1895,Educational,15942,60151262,69,6,7,41,0,Favorable,Yes,4,7,Banglore,3,19,Fixed price,Low,880
1896,Industrial,10536,48316126,23,8,36,78,1,Favorable,No,1,1,Chennai,2,12,Fixed price,High,900
1897,Industrial,41396,64469171,93,10,11,89,2,Adverse,Yes,1,2,Delhi,3,12,Fixed price,High,580
1898,Residential,34613,58047046,20,4,26,95,5,Adverse,No,4,5,Hyderabad,1,7,Fixed price,Low,205
1899,Commercial,12247,81181885,87,10,6,4,5,Adverse,Yes,3,7,Kolkata,4,16,Time and materials,Medium,270
1900,Infrastructure,25867,65344738,47,3,38,65,2,Moderate,Yes,5,6,Banglore,2,1,Fixed price,Low,609
1901,Residential,752,6100749,23,7,20,44,4,Adverse,Yes,3,0,Mumbai,4,15,Fixed price,Low,165
1902,Educational,1287,41557270,51,10,16,67,4,Favorable,Yes,5,9,Mumbai,7,1,Time and materials,Low,292
1903,Commercial,25615,15144263,79,4,30,42,1,Moderate,No,4,2,Kolkata,9,9,Time and materials,Low,219
1904,Infrastructure,32326,40539524,74,4,43,6,0,Favorable,Yes,1,5,Hyderabad,8,4,Fixed price,Low,477
1905,Commercial,47175,11392165,55,6,35,80,4,Moderate,No,3,2,Chennai,6,6,Time and materials,High,765
1906,Commercial,40325,8868467,94,4,46,26,3,Favorable,Yes,1,7,Hyderabad,2,13,Time and materials,Low,908
1907,Commercial,37761,55273850,15,1,38,60,3,Adverse,No,4,5,Pune,3,16,Time and materials,Low,586
1908,Residential,36955,45544922,14,3,10,62,0,Adverse,No,5,1,Chennai,4,13,Fixed price,High,185
1909,Industrial,28907,69606954,24,4,42,15,0,Adverse,No,4,9,Chennai,1,17,Time and materials,High,210
1910,Infrastructure,45534,16362786,14,10,44,83,2,Adverse,No,1,3,Mumbai,4,20,Time and materials,Medium,616
1911,Commercial,42053,19263636,71,3,28,79,2,Favorable,Yes,3,1,Hyderabad,5,17,Time and materials,Low,741
1912,Infrastructure,33972,78475504,79,5,19,5,5,Adverse,Yes,2,1,Hyderabad,9,15,Time and materials,Low,463
1913,Commercial,31201,76790770,85,5,5,88,5,Adverse,Yes,1,6,Pune,7,10,Time and materials,High,792
1914,Residential,39996,49345326,69,2,43,70,5,Adverse,No,2,8,Delhi,4,2,Time and materials,Low,922
1915,Commercial,19746,12887493,90,4,40,10,0,Moderate,No,5,4,Hyderabad,10,10,Fixed price,Medium,309
1916,Commercial,35265,62302373,34,1,50,52,5,Favorable,No,4,8,Mumbai,3,11,Fixed price,High,153
1917,Industrial,21432,21946030,24,2,36,5,4,Adverse,No,3,10,Chennai,7,4,Fixed price,Low,971
1918,Educational,6839,81354940,34,7,42,71,1,Favorable,Yes,1,4,Pune,8,3,Time and materials,Low,913
1919,Residential,31178,57164673,98,4,9,66,4,Adverse,Yes,4,5,Hyderabad,2,16,Time and materials,High,371
1920,Educational,13046,18632504,18,5,5,23,4,Moderate,Yes,4,9,Pune,1,7,Fixed price,High,148
1921,Commercial,45705,74662069,83,8,49,62,4,Adverse,Yes,3,4,Pune,1,15,Fixed price,Medium,410
1922,Infrastructure,33221,51857653,73,1,25,71,1,Adverse,Yes,2,4,Delhi,2,7,Fixed price,High,294
1923,Infrastructure,41572,10883375,95,9,50,27,5,Moderate,No,2,0,Mumbai,6,10,Fixed price,Low,332
1924,Commercial,24604,51555284,81,1,26,55,3,Adverse,Yes,2,2,Mumbai,2,12,Time and materials,High,205
1925,Educational,49351,6235541,25,6,48,23,5,Favorable,No,3,5,Chennai,1,11,Fixed price,Low,308
1926,Industrial,30323,63207239,75,7,46,20,5,Moderate,No,1,7,Mumbai,7,9,Time and materials,Low,966
1927,Industrial,25825,46297815,40,10,11,17,1,Moderate,No,4,10,Chennai,9,3,Fixed price,Low,428
1928,Educational,24538,28901264,87,6,30,62,2,Adverse,No,4,7,Pune,7,11,Fixed price,High,697
1929,Educational,18243,43621397,85,1,25,25,1,Favorable,No,5,9,Hyderabad,1,9,Time and materials,High,867
1930,Residential,6470,34272941,41,7,26,76,2,Adverse,No,4,0,Pune,10,2,Time and materials,High,365
1931,Commercial,27789,56710912,53,9,10,18,0,Favorable,No,3,7,Delhi,4,15,Fixed price,High,946
1932,Infrastructure,27341,6812972,86,2,13,37,2,Favorable,Yes,4,3,Kolkata,9,9,Time and materials,Medium,537
1933,Commercial,8049,25337742,72,6,43,98,1,Favorable,No,5,10,Chennai,9,8,Time and materials,Medium,632
1934,Industrial,12282,82926296,31,10,36,100,2,Moderate,No,2,1,Mumbai,6,7,Time and materials,Medium,661
1935,Infrastructure,29930,29595642,85,6,26,81,0,Adverse,Yes,4,1,Delhi,5,15,Fixed price,Medium,521
1936,Commercial,27894,79609616,5,7,41,70,5,Favorable,No,2,10,Chennai,3,14,Fixed price,High,771
1937,Educational,1266,52283277,64,3,47,59,3,Favorable,Yes,2,10,Kolkata,9,19,Fixed price,Low,116
1938,Infrastructure,20186,50446404,45,10,38,13,2,Moderate,No,4,1,Mumbai,3,14,Time and materials,Medium,681
1939,Residential,49353,23632839,23,4,13,23,2,Favorable,Yes,2,8,Mumbai,3,19,Fixed price,High,453
1940,Residential,33280,38649033,54,3,48,28,1,Moderate,No,1,7,Pune,4,13,Time and materials,Medium,298
1941,Industrial,30413,34447905,60,4,29,24,5,Adverse,Yes,1,4,Delhi,1,17,Time and materials,High,829
1942,Educational,18882,24561858,29,6,49,81,3,Moderate,Yes,5,9,Delhi,5,3,Time and materials,High,166
1943,Educational,18959,26083082,98,4,22,75,4,Adverse,No,3,6,Banglore,4,2,Fixed price,High,270
1944,Residential,15229,44041377,50,6,10,95,0,Moderate,Yes,1,5,Pune,1,11,Time and materials,Medium,955
1945,Educational,31145,47686488,6,3,17,80,3,Favorable,No,2,6,Kolkata,8,14,Fixed price,High,880
